bird,bird_id,dur,syls,epochs,fw_p_p,fw_r_p,fw_f1_p,c10_p,c20_p
Bird 1,ye00pu07,5798,18688,13,0.964 +/- 0.007,0.956 +/- 0.003,0.960 +/- 0.002,0.899 +/- 0.006,0.937 +/- 0.004
Bird 2,bu04bk04,174,3734,21,0.947 +/- 0.003,0.946 +/- 0.005,0.947 +/- 0.004,0.860 +/- 0.005,0.873 +/- 0.002
Bird 3,gy07bu07,274,7449,16,0.964 +/- 0.002,0.954 +/- 0.003,0.959 +/- 0.002,0.587 +/- 0.005,0.590 +/- 0.007
Bird 4,br08pk08,1557,7172,13,0.956 +/- 0.002,0.957 +/- 0.002,0.957 +/- 0.001,0.898 +/- 0.012,0.934 +/- 0.008
Bird 5,ye04gr05,180,3164,16,0.964 +/- 0.008,0.929 +/- 0.008,0.946 +/- 0.005,0.827 +/- 0.011,0.832 +/- 0.010
