bird,bird_id,classes,syls,dur,epochs,acc_p,mac_p_p,mac_r_p,mac_f1_p
Bird 1,ye00pu07,9,18335,559,15,0.978 +/- 0.001,0.973 +/- 0.001,0.981 +/- 0.001,0.977 +/- 0.001
Bird 2,bu04bk04,10,3802,116,18,0.948 +/- 0.007,0.930 +/- 0.008,0.963 +/- 0.007,0.944 +/- 0.006
Bird 3,gy07bu07,8,7579,231,17,0.973 +/- 0.006,0.966 +/- 0.007,0.978 +/- 0.006,0.972 +/- 0.006
Bird 4,br08pk08,8,7360,224,18,0.903 +/- 0.015,0.836 +/- 0.028,0.910 +/- 0.016,0.863 +/- 0.026
Bird 5,ye04gr05,8,3146,96,16,0.959 +/- 0.006,0.945 +/- 0.007,0.964 +/- 0.010,0.952 +/- 0.009
