bird,bird_id,dur_train_s,n_syl_train,epochs,fw_p_plain,fw_r_plain,fw_f1_plain,col_10_plain,col_20_plain
Bird 1,ye00pu07,5798,18688,13,0.963 +/- 0.007,0.958 +/- 0.003,0.961 +/- 0.002,0.454 +/- 0.025,0.538 +/- 0.024
Bird 2,bu04bk04,174,3734,18,0.952 +/- 0.002,0.944 +/- 0.008,0.948 +/- 0.003,0.817 +/- 0.007,0.866 +/- 0.004
Bird 3,gy07bu07,274,7449,15,0.966 +/- 0.005,0.951 +/- 0.005,0.958 +/- 0.002,0.854 +/- 0.003,0.914 +/- 0.001
Bird 4,br08pk08,1557,7172,13,0.949 +/- 0.002,0.963 +/- 0.001,0.956 +/- 0.002,0.663 +/- 0.018,0.698 +/- 0.014
Bird 5,ye04gr05,180,3164,20,0.964 +/- 0.007,0.931 +/- 0.006,0.947 +/- 0.004,0.815 +/- 0.013,0.830 +/- 0.011
