bird,bird_id,dur_train_s,n_syl_train,epochs,fw_p_plain,fw_r_plain,fw_f1_plain,col_10_plain,col_20_plain
Bird 1,ye00pu07,5798,18688,13,0.960 +/- 0.007,0.967 +/- 0.003,0.964 +/- 0.003,0.901 +/- 0.005,0.934 +/- 0.002
Bird 2,bu04bk04,174,3734,18,0.919 +/- 0.003,0.974 +/- 0.006,0.945 +/- 0.002,0.863 +/- 0.010,0.877 +/- 0.009
Bird 3,gy07bu07,274,7449,15,0.902 +/- 0.005,0.976 +/- 0.003,0.937 +/- 0.003,0.593 +/- 0.009,0.596 +/- 0.010
Bird 4,br08pk08,1557,7172,13,0.943 +/- 0.003,0.975 +/- 0.000,0.959 +/- 0.002,0.891 +/- 0.013,0.929 +/- 0.010
Bird 5,ye04gr05,180,3164,20,0.931 +/- 0.007,0.945 +/- 0.006,0.938 +/- 0.003,0.827 +/- 0.010,0.833 +/- 0.006
