bird,bird_id,dur,syls,epochs,fw_p_p,fw_r_p,fw_f1_p,c10_p,c20_p
Bird 1,ye00pu07,5798,18688,13,0.964 +/- 0.007,0.956 +/- 0.003,0.960 +/- 0.002,0.899 +/- 0.006,0.937 +/- 0.004
Bird 2,bu04bk04,174,3734,19,0.950 +/- 0.008,0.939 +/- 0.014,0.944 +/- 0.005,0.859 +/- 0.016,0.870 +/- 0.019
Bird 3,gy07bu07,274,7713,15,0.958 +/- 0.003,0.950 +/- 0.002,0.954 +/- 0.002,0.563 +/- 0.002,0.565 +/- 0.004
Bird 4,br08pk08,1557,7172,19,0.954 +/- 0.004,0.959 +/- 0.002,0.957 +/- 0.001,0.895 +/- 0.015,0.931 +/- 0.009
Bird 5,ye04gr05,180,3164,16,0.963 +/- 0.006,0.931 +/- 0.006,0.947 +/- 0.005,0.829 +/- 0.012,0.833 +/- 0.008
